Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-12,500.0,509.3,480.0,502.0,503.1,16364151.0,81298.85
2016-07-13,503.0,507.45,462.0,468.75,467.7,2440691.0,11847.41
2016-07-14,468.6,492.5,452.5,486.0,487.7,2381010.0,11268.45
2016-07-15,487.0,497.9,475.15,489.1,491.45,1276616.0,6232.54
2016-07-18,492.0,512.0,487.0,501.25,501.95,1506745.0,7572.25
2016-07-19,502.35,507.35,490.0,493.6,495.05,669521.0,3335.23
2016-07-20,495.05,507.7,490.9,493.5,496.3,756119.0,3778.96
2016-07-21,496.9,499.45,486.4,487.55,487.9,331922.0,1635.49
2016-07-22,490.0,492.8,481.0,483.0,482.8,329187.0,1600.64
2016-07-25,485.85,495.05,475.1,483.95,481.95,296699.0,1441.58
2016-07-26,485.85,496.9,482.8,491.0,489.9,356432.0,1749.18
2016-07-27,494.7,531.9,491.1,528.0,523.75,1565742.0,8078.5
2016-07-28,527.0,541.9,521.1,522.0,524.8,780663.0,4158.27
2016-07-29,526.8,530.5,508.05,509.05,510.2,298546.0,1549.52
2016-08-01,517.45,604.85,516.0,598.0,592.9,3669457.0,20799.24
2016-08-02,598.0,618.8,580.15,602.0,602.5,1883855.0,11397.59
2016-08-03,602.0,602.8,576.2,586.0,588.3,678231.0,3998.26
2016-08-04,595.0,651.0,587.5,621.0,622.15,2289006.0,14438.18
2016-08-05,626.0,632.0,613.25,622.8,621.3,476195.0,2963.71
2016-08-08,625.75,625.75,556.25,561.0,559.05,1581862.0,9131.55
2016-08-09,561.5,571.5,530.05,536.0,535.6,1375277.0,7474.74
2016-08-10,539.7,556.0,536.25,551.0,550.3,1002765.0,5505.38
2016-08-11,552.0,555.45,531.0,532.5,532.35,363157.0,1959.07
2016-08-12,535.9,542.8,527.05,529.0,529.8,254952.0,1362.49
2016-08-16,530.1,534.45,505.6,521.4,519.35,413017.0,2134.49
2016-08-17,518.9,530.0,518.0,524.0,525.65,165209.0,867.33
2016-08-18,528.0,557.35,521.0,544.0,543.8,489208.0,2668.47
2016-08-19,544.9,561.0,536.35,541.65,542.5,305984.0,1679.06
2016-08-22,546.4,573.7,543.9,571.0,569.45,608750.0,3413.53
2016-08-23,573.8,573.8,550.1,555.5,553.5,169895.0,951.02
